tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,2/24/2015 11:35,,Eastern Time (US & Canada)
5.70E+17,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,2/24/2015 11:15,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,2/24/2015 11:15,Lets Play,Central Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2/24/2015 11:15,,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,2/24/2015 11:14,,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,2/24/2015 11:14,,Pacific Time (US & Canada)
5.70E+17,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,2/24/2015 11:13,San Francisco CA,Pacific Time (US & Canada)
5.70E+17,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,2/24/2015 11:12,Los Angeles,Pacific Time (US & Canada)
5.70E+17,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",,2/24/2015 11:11,San Diego,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,2/24/2015 10:53,Los Angeles,Eastern Time (US & Canada)
5.70E+17,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,2/24/2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,2/24/2015 10:30,NYC,America/New_York
5.70E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,2/24/2015 10:30,NYC,America/New_York
5.70E+17,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,2/24/2015 10:21,,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,,2/24/2015 10:15,"San Francisco, CA",Pacific Time (US & Canada)
5.70E+17,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,,2/24/2015 10:01,"palo alto, ca",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,2/24/2015 9:42,west covina,Pacific Time (US & Canada)
5.70E+17,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,2/24/2015 9:39,this place called NYC,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,thebrandiray,,0,I ❤️ flying @VirginAmerica. ☺️👍,,2/24/2015 9:15,Somewhere celebrating life. ,Atlantic Time (Canada)
5.70E+17,positive,1,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,2/24/2015 9:04,Boston | Waltham,Quito
5.70E+17,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,2/24/2015 8:55,,
5.70E+17,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2/24/2015 8:49,,
5.70E+17,positive,1,,,Virgin America,,ElvinaBeck,,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,,2/24/2015 8:30,Los Angeles,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,rjlynch21086,,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,2/24/2015 8:27,"Boston, MA ",Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,2/24/2015 8:18,714,Mountain Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,Leora13,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,2/24/2015 7:49,,
5.70E+17,negative,1,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,2/24/2015 7:11,,
5.70E+17,neutral,0.6854,,,Virgin America,,AdamSinger,,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,2/24/2015 5:44,"San Francisco, CA",Central Time (US & Canada)
5.70E+17,negative,1,Bad Flight,1,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2/24/2015 5:05,"San Mateo, CA & Las Vegas, NV",
5.70E+17,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2/23/2015 23:34,Brooklyn,Atlantic Time (Canada)
5.70E+17,negative,1,Flight Booking Problems,1,Virgin America,,jordanpichler,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,2/23/2015 22:52,,Vienna
5.70E+17,neutral,1,,,Virgin America,,JCervantezzz,,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,,2/23/2015 21:35,"California, San Francisco",Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2/23/2015 21:10,Washington DC,Quito
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,2/23/2015 20:55,,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",2/23/2015 20:24,Texas,Central Time (US & Canada)
5.70E+17,neutral,0.6207,,,Virgin America,,miaerolinea,,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,2/23/2015 18:46,Worldwide,Caracas
5.70E+17,positive,1,,,Virgin America,,Nicsplace,,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,,2/23/2015 18:43,Central Texas,
5.70E+17,positive,1,,,Virgin America,,Nicsplace,,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,2/23/2015 18:19,Central Texas,
5.70E+17,neutral,0.6791,,0,Virgin America,,elisha_malulani,,0,@VirginAmerica when can I book my flight to Hawaii??,,2/23/2015 17:54,i'm creating a monster ,Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,DannyDouglass,,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,2/23/2015 17:41,"San Francisco, CA",Pacific Time (US & Canada)
5.70E+17,positive,0.6639,,,Virgin America,,jamesferrandini,,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,2/23/2015 17:32,,
5.70E+17,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,2/23/2015 17:00,Iowa City,Central Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,GottAmanda,,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",2/23/2015 16:24,Los Angeles,
5.70E+17,neutral,0.6578,,0,Virgin America,,KGervaise,,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,2/23/2015 16:20,Georgia,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,2/23/2015 16:13,,
5.70E+17,positive,1,,,Virgin America,,arieldaie,,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,2/23/2015 16:08,Los Angeles,
5.70E+17,neutral,0.6799,,,Virgin America,,vacations7,,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,2/23/2015 16:04,Turks and caicos,
5.70E+17,positive,1,,,Virgin America,,ChelseaPoe666,,0,@VirginAmerica wow this just blew my mind,,2/23/2015 16:01,Oakland via Midwest ,Atlantic Time (Canada)
5.70E+17,neutral,1,,,Virgin America,,BobGlavinVO,,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,,2/23/2015 16:01,"New York, NY",Eastern Time (US & Canada)
5.70E+17,neutral,0.6436,,,Virgin America,,lisaaiko,,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,2/23/2015 15:58,,
5.70E+17,neutral,0.6764,,0,Virgin America,,grantbrowne,,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,2/23/2015 15:55,Worldwide,Central Time (US & Canada)
5.70E+17,positive,0.657,,,Virgin America,,joyabsalon,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,,2/23/2015 15:46,Northern Virginia,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,2v,,0,@VirginAmerica wish you flew out of Atlanta... Soon?,,2/23/2015 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada)
5.70E+17,neutral,0.7118,,0,Virgin America,,KSmithFoundHere,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,,2/23/2015 15:24,,Atlantic Time (Canada)
5.70E+17,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,,2/23/2015 15:19,,
5.70E+17,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,,2/23/2015 15:05,"new york, new york",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,VinnieFerra,,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,,2/23/2015 15:04,"brooklyn, Ny",Pacific Time (US & Canada)
5.70E+17,positive,0.635,,,Virgin America,,KevinDemsi,,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,,2/23/2015 14:40,"Bali, Republic of Indonesia",Kuala Lumpur
5.70E+17,neutral,0.7007,,,Virgin America,,giffgaffman,,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,,2/23/2015 14:40,"UK, USA. ",
5.70E+17,neutral,1,,,Virgin America,,HanlonBrothers,,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,,2/23/2015 14:37,"Gold Coast, Australia",Brisbane
5.70E+17,neutral,1,,,Virgin America,,emilybg78,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,,2/23/2015 14:36,"Stockton, CA",Arizona
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,rachie1126,,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,2/23/2015 14:35,"New York, NY",Eastern Time (US & Canada)
5.70E+17,neutral,0.6858,,,Virgin America,,adawson66,,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]",2/23/2015 14:30,,
5.70E+17,neutral,1,,,Virgin America,,SocialPLC,,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",,2/23/2015 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,jeffreymace01,,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,,2/23/2015 14:25,,
5.70E+17,neutral,0.6814,,0,Virgin America,,1stcrown,,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,2/23/2015 14:09,USA,Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,onerockgypsy,,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,,2/23/2015 13:46,next city,Pacific Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.6789,Virgin America,,noelduan,,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,2/23/2015 13:35,SF ↔ NY,Eastern Time (US & Canada)
5.70E+17,positive,0.6922,,,Virgin America,,Travelzoo,,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,,2/23/2015 13:30,"New York, NY",Pacific Time (US & Canada)
5.70E+17,negative,1,Lost Luggage,1,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2/23/2015 13:08,New York + Panama,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,bxchen,,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,,2/23/2015 12:47,"San Francisco, CA",Eastern Time (US & Canada)
5.70E+17,neutral,0.6492,,0,Virgin America,,seimatrun,,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,,2/23/2015 12:00,Los Angeles,
5.70E+17,neutral,1,,,Virgin America,,jamied7,,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",,2/23/2015 11:56,"London, England",London
5.70E+17,negative,1,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,,2/23/2015 11:46,Los Angeles,
5.70E+17,positive,1,,,Virgin America,,mrmichaellay,,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2/23/2015 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,,2/23/2015 11:28,"Dallas, Texas",Mountain Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,campusmoviefest,,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",,2/23/2015 11:24,USA,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,,2/23/2015 11:22,"Dallas, Texas",Mountain Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,meme_meng,,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,,2/23/2015 11:02,,
5.70E+17,neutral,1,,,Virgin America,,kyle_romanoff,,0,@VirginAmerica what happened to Doom?!,,2/23/2015 10:58,,
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,GunsNDip,,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,,2/23/2015 10:56,,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,artisticwritr87,,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,2/23/2015 10:56,"Seattle, WA",Pacific Time (US & Canada)
5.70E+17,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,,2/23/2015 10:54,Los Angeles,
5.70E+17,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,2/23/2015 10:54,,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,2/23/2015 10:38,,Pacific Time (US & Canada)
5.70E+17,negative,1,Flight Booking Problems,1,Virgin America,,jsatk,,0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,"[0.0, 0.0]",2/23/2015 10:29,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
5.70E+17,neutral,0.6705,,0,Virgin America,,serenaklal,,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,,2/23/2015 10:15,Chicago,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,openambit1,,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,,2/23/2015 10:09,,
5.70E+17,neutral,0.6545,,0,Virgin America,,cabowine,,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,,2/23/2015 10:04,"Los Cabos,Mexico",Arizona
5.70E+17,negative,1,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,,0,@VirginAmerica Why is the site down?  When will it be back up?,,2/23/2015 9:57,"New York, NY",Arizona
5.70E+17,neutral,1,,,Virgin America,,RamotControl,,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",,2/23/2015 9:45,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6639,,0,Virgin America,,losermelon,,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",,2/23/2015 9:35,,
5.70E+17,negative,1,Cancelled Flight,1,Virgin America,,AlisonK33774854,,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,,2/23/2015 9:29,,
5.70E+17,negative,1,Late Flight,1,Virgin America,,GunsNDip,,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,2/23/2015 9:28,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6765,,0,Virgin America,,yazdanagh,,0,@VirginAmerica why is flight 345 redirected?,,2/23/2015 9:26,,
5.70E+17,negative,1,Customer Service Issue,0.6863,Virgin America,,MerchEngines,,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",,2/23/2015 9:25,"Los Angeles, CA",Arizona
5.70E+17,negative,1,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,2/23/2015 9:18,"Austin, TX",Mountain Time (US & Canada)
5.70E+17,negative,1,Can't Tell,0.659,Virgin America,,MustBeSpoken,,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,,2/23/2015 9:11,,
5.70E+17,negative,1,Flight Booking Problems,0.6714,Virgin America,,mattbunk,,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,,2/23/2015 8:29,"Sterling Heights, MI",Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,louisjenny,,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,,2/23/2015 8:19,Washington DC,Quito
5.70E+17,neutral,1,,,Virgin America,,STravelsW,,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,,2/23/2015 8:19,"Manhattan Beach, CA",
5.70E+17,negative,1,Late Flight,0.6882,Virgin America,,GunsNDip,,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,,2/23/2015 8:11,,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,joeyrenagade,,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,,2/23/2015 8:08,Greater Los Angeles,
5.70E+17,negative,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,"[0.0, 0.0]",2/23/2015 8:08,Floridian from Cincinnati ,Eastern Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.3486,Virgin America,,GunsNDip,,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,,2/23/2015 7:51,,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,TheDuchessSF,,0,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",,2/23/2015 7:50,Online,Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,BeLeather,,0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,"[0.0, 0.0]",2/23/2015 7:40,,Pacific Time (US & Canada)
5.70E+17,negative,1,Flight Booking Problems,0.6366,Virgin America,,BeLeather,,0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,"[0.0, 0.0]",2/23/2015 7:40,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6593,,0,Virgin America,,drcaseydrake,,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",2/23/2015 7:28,"Dallas, TX",
5.70E+17,positive,0.6823,,0,Virgin America,,flyfromWAS,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",,2/23/2015 6:57,"Washington, DC",Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,flyfromSEA,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",,2/23/2015 6:57,Seattle,Central Time (US & Canada)
5.70E+17,positive,0.6806,,,Virgin America,,flyfromNYC,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",,2/23/2015 6:57,"New York City, NY",Central Time (US & Canada)
5.70E+17,neutral,0.6529,,,Virgin America,,flyfromLAX,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",,2/23/2015 6:57,"Los Angeles, CA",Central Time (US & Canada)
5.70E+17,positive,0.678,,,Virgin America,,Silvanabfer,,0,@VirginAmerica Have a great week 🌞✈,,2/23/2015 6:51,,
5.70E+17,positive,0.3482,,0,Virgin America,,AdamJdubs,,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,,2/23/2015 6:07,Earth,Eastern Time (US & Canada)
5.70E+17,negative,1,Late Flight,1,Virgin America,,nicholas_v,,0,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","[26.074379, -80.1416831]",2/23/2015 5:15,,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,tstashajones,,0,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",,2/23/2015 3:01,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,SkateMamas,,0,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,,2/23/2015 0:35,"Los Angeles, CA",
5.70E+17,positive,1,,,Virgin America,,dngoo,,0,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,,2/23/2015 0:21,"Near a park, water, or lights",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,SamBrittenham,,0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,2/23/2015 0:06,USA,Eastern Time (US & Canada)
